Time,Repeat.measurement,image,genus,species,species_author,Lat,Long,median or best estimate Ma,PaleoLat,Form,length,Zooid,width,area
Campanian.PDT,1, pdt2765,Pseudoallantopora,sp.,,054N,010E,78,044N,Runner,723.25,1,458.23,249743.63
Campanian.PDT,1, pdt2765,Pseudoallantopora,sp.,,,,,,Runner,750.29,2,543.23,314552.09
Campanian.PDT,1, pdt2765,Pseudoallantopora,sp.,,,,,,Runner,994.12,3,420.86,306260.51
Campanian.PDT,2, pdt2765,Pseudoallantopora,sp.,,,,,,Runner,694.63,1,,
Campanian.PDT,2, pdt2765,Pseudoallantopora,sp.,,,,,,Runner,764.79,2,,
Campanian.PDT,2, pdt2765,Pseudoallantopora,sp.,,,,,,Runner,814.68,3,,
Campanian.PDT,3, pdt2765,Pseudoallantopora,sp.,,,,,,Runner,694.63,1,,
Campanian.PDT,3, pdt2765,Pseudoallantopora,sp.,,,,,,Runner,765.99,2,,
Campanian.PDT,3, pdt2765,Pseudoallantopora,sp.,,,,,,Runner,801.03,3,,
Recent.PDT,1,aw0001,Galeopsis,porcellanicus ,"(Hutton, 1873)",047S,168E,0,047S,Erect,646.31,1,418.46,166236.3
Recent.PDT,1,aw0001,Galeopsis,porcellanicus ,"(Hutton, 1873)",,,,,Erect,637.2,2,441.21,192804.97
Recent.PDT,1,aw0001,Galeopsis,porcellanicus ,"(Hutton, 1873)",,,,,Erect,656.72,3,337.91,166835.28
Recent.PDT,1,AW0130,Celleporaria,agglutinans,"(Hutton, 1873)",047S,168E,0,047S,Sheet,489.49,1,523.49,213724.49
Recent.PDT,1,AW0130,Celleporaria,agglutinans,"(Hutton, 1873)",,,,,Sheet,615.32,2,475.7,201670.92
Recent.PDT,1,AW0130,Celleporaria,agglutinans,"(Hutton, 1873)",,,,,Sheet,581.63,3,579.78,262780.61
Recent.PDT,1,aw0248,Conopeum,reticulum,"(Linnaeus, 1767)",052N,005W,0,052N,Sheet,443.11,1,316.12,107744.69
Recent.PDT,1,aw0248,Conopeum,reticulum,"(Linnaeus, 1767)",,,,,Sheet,440.77,2,321.44,107502.31
Recent.PDT,1,aw0248,Conopeum,reticulum,"(Linnaeus, 1767)",,,,,Sheet,500.82,3,307.74,100024.62
Pliocene.PDT,1,BB0042,Fenestrulina,malusii,"(Audouin, 1826)",052N,001E,4,052N,Sheet,585.21,1,303.63,135744.85
Pliocene.PDT,1,BB0042,Fenestrulina,malusii,"(Audouin, 1826)",,,,,Sheet,497.4,2,280.63,115034.35
Pliocene.PDT,1,BB0042,Fenestrulina,malusii,"(Audouin, 1826)",,,,,Sheet,452.53,3,398.1,122431.29
Pliocene.PDT,1,BB0049,Escharina,dutertrei,"(Audouin, 1826)",052N,001E,4,052N,Sheet,578.54,1,500.66,216952.07
Pliocene.PDT,1,BB0049,Escharina,dutertrei,"(Audouin, 1826)",,,,,Sheet,608.81,2,423.39,191147.11
Pliocene.PDT,1,BB0049,Escharina,dutertrei,"(Audouin, 1826)",,,,,Sheet,517.35,3,453.91,191285.95
Recent.PDT,1,BB0081,Buffonellaria,n.sp.7,,038N,016E,0,038N,Erect,586.69,1,453.46,158144.6
Recent.PDT,1,BB0081,Buffonellaria,n.sp.7,,,,,,Erect,653.06,2,490.92,232101.35
Recent.PDT,1,BB0081,Buffonellaria,n.sp.7,,,,,,Erect,696.87,3,404.05,174160.81
Recent.PDT,1,BB0087,Buffonellaria,n.sp. 1,,043N,017E,0,043N,Sheet,615.65,1,430.8,176811.31
Recent.PDT,1,BB0087,Buffonellaria,n.sp. 1,,,,,,Sheet,528.71,2,347.9,149460.88
Recent.PDT,1,BB0087,Buffonellaria,n.sp. 1,,,,,,Sheet,534.37,3,330.97,128047.34
Recent.PDT,1,BB0101,Buffonellaria,n.sp.8,,009N,012W,0,009N,Sheet,443.84,1,345.21,107712.79
Recent.PDT,1,BB0101,Buffonellaria,n.sp.8,,,,,,Sheet,492.49,2,366.79,123592.69
Recent.PDT,1,BB0101,Buffonellaria,n.sp.8,,,,,,Sheet,492.58,3,393.53,126210.37
Recent.PDT,1,BB0110,Herentia,hyndmanni,"(Johnston, 1847)",043N,017E,0,043N,Sheet,466.58,1,333.1,146105.63
Recent.PDT,1,BB0110,Herentia,hyndmanni,"(Johnston, 1847)",,,,,Sheet,453.07,2,412.36,122781.34
Recent.PDT,1,BB0110,Herentia,hyndmanni,"(Johnston, 1847)",,,,,Sheet,445.33,3,372.62,144665.6
Recent.PDT,1,BB0113,Buffonellaria,n.sp.3,,038N,026W,0,038N,Sheet,505.64,1,406.3,188212.89
Recent.PDT,1,BB0113,Buffonellaria,n.sp.3,,,,,,Sheet,576.91,2,420.16,197951.66
Recent.PDT,1,BB0113,Buffonellaria,n.sp.3,,,,,,Sheet,700,3,350.13,174709.47
Recent.PDT,1,BB0122,Buffonellaria,n.sp.4,,043N,006E,0,043N,Sheet,477.88,1,343.74,131043.1
Recent.PDT,1,BB0122,Buffonellaria,n.sp.4,,,,,,Sheet,445.54,2,328.88,116683.32
Recent.PDT,1,BB0122,Buffonellaria,n.sp.4,,,,,,Sheet,469.76,3,300.07,129512.8
Pliocene.PDT,1,BB0123,Cellaria,quadrata,Berning ,052N,001E,4,052N,Erect,375.93,1,230.7,80808
Pliocene.PDT,1,BB0123,Cellaria,quadrata,Berning ,,,,,Erect,379.19,2,242.53,76152
Pliocene.PDT,1,BB0123,Cellaria,quadrata,Berning ,,,,,Erect,388.52,3,222.44,77376
